Name,Start Time,Start Direction,Start Alt,End Time,End Direction,End Alt
STARLINK-4474,21:28:35,NW,17°,21:33:22,ESE,34°
STARLINK-1708,21:28:38,SW,10°,21:36:48,ENE,10°
STARLINK-2097,21:29:14,NW,17°,21:34:03,SE,35°
STARLINK-3316,21:29:19,SSW,10°,21:36:43,ENE,10°
STARLINK-3899,21:29:36,NW,18°,21:34:17,E,29°
STARLINK-4395,21:30:00,SE,32°,21:35:26,N,10°
STARLINK-1308,21:30:11,SSW,10°,21:37:58,ENE,10°
STARLINK-1444,21:30:38,NW,17°,21:35:25,ESE,33°
STARLINK-4006,21:31:45,WSW,16°,21:39:05,NE,10°
STARLINK-4403,21:32:39,SE,34°,21:38:05,N,10°
STARLINK-3839,21:32:40,WNW,16°,21:37:23,SE,38°
STARLINK-3228,21:32:54,SW,15°,21:40:19,NE,10°
STARLINK-1394,21:33:21,WNW,16°,21:38:04,SSE,35°
STARLINK-1749,21:33:36,SW,15°,21:41:10,NE,10°
STARLINK-4489,21:33:47,NW,15°,21:38:38,ESE,39°
STARLINK-4111,21:34:13,SSW,14°,21:41:31,ENE,10°
STARLINK-2050,21:34:24,NW,15°,21:39:16,SE,39°
STARLINK-1679,21:34:51,SW,14°,21:42:25,ENE,10°
STARLINK-3732,21:34:59,NW,14°,21:39:57,E,34°
STARLINK-4417,21:35:18,SE,36°,21:40:42,N,10°
STARLINK-1392,21:35:37,NW,14°,21:40:37,ESE,38°
STARLINK-1286,21:36:07,SSW,13°,21:43:29,ENE,10°
STARLINK-3896,21:36:19,NW,13°,21:41:22,E,35°
STARLINK-2729,21:37:25,SW,13°,21:45:16,NE,10°
STARLINK-3825,21:37:45,WNW,13°,21:42:40,SSE,40°
STARLINK-4385,21:37:58,SE,37°,21:43:22,N,10°
STARLINK-4299,21:38:02,SW,12°,21:45:52,NE,10°
STARLINK-2093,21:38:11,WNW,13°,21:43:13,SE,42°
STARLINK-4404,21:38:19,SE,38°,21:43:44,N,10°
H-2A R/B,21:38:25,ESE,37°,21:43:15,N,10°
STARLINK-1733,21:38:43,SW,12°,21:46:39,NE,10°
STARLINK-3596,21:38:59,WSW,10°,21:42:21,NNE,38°
STARLINK-4087,21:39:13,SW,12°,21:47:04,ENE,10°
STARLINK-3249,21:39:21,SW,12°,21:47:17,NE,10°
STARLINK-1396,21:39:33,WNW,20°,21:43:30,S,36°
STARLINK-4475,21:39:37,NW,17°,21:43:57,SE,44°
STARLINK-1677,21:39:54,SW,12°,21:47:55,ENE,10°
STARLINK-2111,21:40:23,WNW,18°,21:44:40,SE,43°
